SimTime	Sender	Receiver	Type	Details
352490	node-4	node-4	NodeReceivesHash	cmg.cnsim.testblockchain.node.EpochHash@210366b4
352490	node-5	node-5	NodeReceivesHash	cmg.cnsim.testblockchain.node.EpochHash@eec5a4a
352533	node-4	node-5	NodeReceivesHash	cmg.cnsim.testblockchain.node.EpochHash@210366b4
352533	node-5	node-4	NodeReceivesHash	cmg.cnsim.testblockchain.node.EpochHash@eec5a4a
352533	node-4	node-1	NodeReceivesHash	cmg.cnsim.testblockchain.node.EpochHash@210366b4
352533	node-5	node-2	NodeReceivesHash	cmg.cnsim.testblockchain.node.EpochHash@eec5a4a
352533	node-5	node-3	NodeReceivesHash	cmg.cnsim.testblockchain.node.EpochHash@eec5a4a
352533	node-5	node-1	NodeReceivesHash	cmg.cnsim.testblockchain.node.EpochHash@eec5a4a
352533	node-4	node-2	NodeReceivesHash	cmg.cnsim.testblockchain.node.EpochHash@210366b4
352533	node-4	node-3	NodeReceivesHash	cmg.cnsim.testblockchain.node.EpochHash@210366b4
452733	node-1	node-1	NodeReceivesVote	cmg.cnsim.testblockchain.node.Vote@2b2948e2
452733	node-1	node-2	NodeReceivesVote	cmg.cnsim.testblockchain.node.Vote@2b2948e2
452733	node-1	node-4	NodeReceivesVote	cmg.cnsim.testblockchain.node.Vote@2b2948e2
452733	node-1	node-5	NodeReceivesVote	cmg.cnsim.testblockchain.node.Vote@2b2948e2
452733	node-1	node-3	NodeReceivesVote	cmg.cnsim.testblockchain.node.Vote@2b2948e2
452933	node-2	node-2	NodeReceivesVote	cmg.cnsim.testblockchain.node.Vote@6ddf90b0
452947	node-2	node-1	NodeReceivesVote	cmg.cnsim.testblockchain.node.Vote@6ddf90b0
452947	node-2	node-4	NodeReceivesVote	cmg.cnsim.testblockchain.node.Vote@6ddf90b0
452947	node-2	node-5	NodeReceivesVote	cmg.cnsim.testblockchain.node.Vote@6ddf90b0
452947	node-2	node-3	NodeReceivesVote	cmg.cnsim.testblockchain.node.Vote@6ddf90b0
453133	node-3	node-3	NodeReceivesVote	cmg.cnsim.testblockchain.node.Vote@57536d79
453162	node-3	node-1	NodeReceivesVote	cmg.cnsim.testblockchain.node.Vote@57536d79
453162	node-3	node-4	NodeReceivesVote	cmg.cnsim.testblockchain.node.Vote@57536d79
453162	node-3	node-5	NodeReceivesVote	cmg.cnsim.testblockchain.node.Vote@57536d79
453162	node-3	node-2	NodeReceivesVote	cmg.cnsim.testblockchain.node.Vote@57536d79
453162	node-4	node-4	NodeReceivesVote	cmg.cnsim.testblockchain.node.Vote@3b0143d3
453162	node-5	node-5	NodeReceivesVote	cmg.cnsim.testblockchain.node.Vote@5a8e6209
