SimTime,NodeID,OldState,NewState
704950,node-5,VALIDATE_SUBMISSIONS,WAITING_VALIDATE_HASH
704993,node-1,VALIDATE_SUBMISSIONS,WAITING_VALIDATE_HASH
704993,node-2,VALIDATE_SUBMISSIONS,WAITING_VALIDATE_HASH
704993,node-3,VALIDATE_SUBMISSIONS,WAITING_VALIDATE_HASH
755093,node-1,WAITING_VALIDATE_HASH,VALIDATE_HASH
755193,node-2,WAITING_VALIDATE_HASH,VALIDATE_HASH
755293,node-3,WAITING_VALIDATE_HASH,VALIDATE_HASH
755322,node-4,WAITING_VALIDATE_HASH,VALIDATE_HASH
755322,node-5,WAITING_VALIDATE_HASH,VALIDATE_HASH
755322,node-4,VALIDATE_HASH,COMPLETED
755322,node-5,VALIDATE_HASH,COMPLETED
755365,node-1,VALIDATE_HASH,COMPLETED
755365,node-2,VALIDATE_HASH,COMPLETED
755365,node-3,VALIDATE_HASH,COMPLETED
805465,node-1,COMPLETED,WAITING
805565,node-2,COMPLETED,WAITING
805665,node-3,COMPLETED,WAITING
805722,node-4,COMPLETED,WAITING
855565,node-1,WAITING,INITIATED
855765,node-2,WAITING,INITIATED
855965,node-3,WAITING,INITIATED
855994,node-4,WAITING,INITIATED
855994,node-4,INITIATED,WAITING_VALIDATE_SUBMISSIONS
856037,node-2,INITIATED,WAITING_VALIDATE_SUBMISSIONS
856037,node-3,INITIATED,WAITING_VALIDATE_SUBMISSIONS
856037,node-1,INITIATED,WAITING_VALIDATE_SUBMISSIONS
906137,node-1,WAITING_VALIDATE_SUBMISSIONS,VALIDATE_SUBMISSIONS
906237,node-2,WAITING_VALIDATE_SUBMISSIONS,VALIDATE_SUBMISSIONS
906337,node-3,WAITING_VALIDATE_SUBMISSIONS,VALIDATE_SUBMISSIONS
906366,node-4,WAITING_VALIDATE_SUBMISSIONS,VALIDATE_SUBMISSIONS
906366,node-4,VALIDATE_SUBMISSIONS,WAITING_VALIDATE_HASH
906409,node-1,VALIDATE_SUBMISSIONS,WAITING_VALIDATE_HASH
906409,node-2,VALIDATE_SUBMISSIONS,WAITING_VALIDATE_HASH
906409,node-3,VALIDATE_SUBMISSIONS,WAITING_VALIDATE_HASH
956509,node-1,WAITING_VALIDATE_HASH,VALIDATE_HASH
